show_id	type	title	director	cast	country	date_added	release_year	rating	duration	listed_in	description
s11	Movie	The Queen	Stephen Frears	Helen Mirren, Michael Sheen, James Cromwell, Helen McCrory, Alex Jennings, Roger Allam, Sylvia Syms, Mark Bazeley	United Kingdom, United States, France, Italy	July 1, 2021	2006	PG-13	103 min	Dramas, International Movies	After Princess Diana's death, Queen Elizabeth II and Tony Blair face public demands that she be memorialized in a manner beyond standard protocol.
s12	Movie	Cook Off	Tomas Brickhill	Tendaiishe Chitima, Tendai Nguni, Jesese Mungoshi, Eddie Sandifolo, Charmaine Mujeri, Kudzai Sevenzo, Fungai Majaya, Eugene Zimbudzi, Chimwemwe Chipidza, Kevin Hanssen, Zihlo, Michael Kudakwashe	Zimbabwe	June 1, 2020	2017	TV-G	100 min	Comedies, International Movies, Romantic Movies	Yearning for a better life, a single mother with a passion for cooking gets a shot at greatness when her son enters her into a top reality cooking show.
s13	TV Show	The American Bible Challenge	Michael Simon	Jeff Foxworthy	United States	June 15, 2021	2014	TV-G	1 Season	Reality TV	Join host Jeff Foxworthy as contestants test their knowledge of all things biblical, competing to win money for the charities of their choice.
s14	Movie	Night of Knots	Hakan AlgÃ¼l	Åžahin Irmak, Ä°rem Sak, Gonca Vuslateri, Emre Karayel, Duygu YetiÅŸ, Onur Buldu, Salih Kalyon, Bilge Åžen, NilgÃ¼n BelgÃ¼n, Hakan AkÄ±n	Turkey	September 10, 2020	2018	TV-MA	93 min	Comedies, International Movies, Romantic Movies	Two exes run into each other at a wedding hall and realize they still harbor romantic feelings. The one problem? They just got married to other people.
s15	TV Show	Nagi-Asu: A Lull in the Sea		Natsuki Hanae, Kana Hanazawa, Ai Kayano, Ryota Osaka, Kaito Ishikawa, Mikako Komatsu, Kaori Ishihara, Kaori Nazuka, Masuo Amada, Junji Majima, Motomu Kiyokawa, Kohsuke Toriumi	Japan	August 1, 2020	2014	TV-14	1 Season	Anime Series, Romantic TV Shows, Teen TV Shows	In a world where humans are divided between the land and the sea, four childhood friends from the ocean must attend middle school on the surface.
s16	TV Show	Patriot Act with Hasan Minhaj		Hasan Minhaj	United States	May 17, 2020	2020	TV-MA	6 Seasons	Stand-Up Comedy & Talk Shows, TV Comedies	Every Sunday, Hasan Minhaj brings an incisive and nuanced perspective to global news, politics and culture in his unique comedy series.
s17	TV Show	Magic for Humans Spain		Antonio DÃ­az	Spain	March 26, 2021	2021	TV-MA	1 Season	International TV Shows, Reality TV, Spanish-Language TV Shows	In this Spanish adaptation of "Magic for Humans," folks of all ages on the streets of Barcelona are amazed by tricks that inspire delight and wonder.
s18	Movie	Disco Dancer	B. Subhash	Mithun Chakraborty, Kim, Kalpana Iyer, Om Puri, Gita Siddharth, Yusuf Khan, Bob Christo, Om Shivpuri, Karan Razdan	India	October 12, 2020	1982	TV-14	134 min	Cult Movies, Dramas, International Movies	A poor boy grows up to be a famous disco dancer, hoping to use his art to exact revenge on the millionaire who once framed him and his mother for theft.
s19	Movie	Surat Dari Praha	Angga Dwimas Sasongko	Tio Pakusadewo, Julie Estelle, Widyawati, Rio Dewanto, Chicco Jerikho, Jajang C. Noer, Shafira Umm	Indonesia	October 9, 2018	2016	TV-14	98 min	Dramas, International Movies, Romantic Movies	Hoping to fulfill her deceased mother's final wish, a young woman travels to Prague to deliver an old letter to a mysterious man.
s20	TV Show	Feel Good	Ally Pankiw	Mae Martin, Charlotte Ritchie, Lisa Kudrow, Sophie Thompson, Tom Andrews, Tobi Bamtefa, Phil Burgers, Ophelia Lovibond, Adrian Lukis, Ritu Arya, Ramon Tikaram	United Kingdom	June 4, 2021	2021	TV-MA	2 Seasons	Romantic TV Shows, TV Comedies, TV Dramas	Stand-up comic Mae Martin navigates a passionate, messy new relationship with her girlfriend, George, while dealing with the challenges of sobriety.
s21	TV Show	Documentary Now!		Fred Armisen, Bill Hader, Helen Mirren	United States	June 3, 2019	2019	TV-14	3 Seasons	TV Comedies	Elevating the art of parody, this sharply comic series spoofs high-profile documentaries such as "Grey Gardens" and "The Thin Blue Line."
s22	TV Show	Heartbreak High		Callan Mulvey, Lara Cox, Emma Roche, Ada Nicodemou, Rel Hunt, Putu Winchester, Salvatore Coco, Barbara Gouskos, Ivar Kants, Stephen O'Rourke, Abi Tucker, Scott Major, Corey Page, Despina Caldis, Deni Gordon, Jon Pollard, Vince Poletto, Andrea Moor, Jeremy Lindsay Taylor, Doris Younane, Tony Martin, Sebastian Goldspink, Katherine Halliday, Marcel Bracks, Nina Liu, Morna Seres, Nathalie Roy, Rebecca Smart, Fleur Beaupert, Alex Dimitriades, Tina Bursill, Peter Sumner, Mario Gamma, Tai Nguyen, Inge Hornstra, Rupert Reid, John Walton, Nick Lathouris, Hugh Baldwin, Sarah Lambert, Jan Adele, Diane Craig, Ian Bliss, Alexandra Brunning, Kym Wilson, Isabella Gutierrez, Simon Baker	Australia	November 27, 2020	1999	TV-14	7 Seasons	International TV Shows, TV Dramas, Teen TV Shows	A crash course on the turbulence of being a teen is always on the schedule for the students at Hartley High School in this 1990s series set in Sydney.
s23	Movie	Vitti Dandu	Ganesh Kadam	Dilip Prabhavalkar, Ashok Samarth, Yatin Karyekar, Nishant Bhavsar, Mrunal Thakur, Vikas Kadam, Utpal Sawant, Ravindra Mankani, Shubhankar Atre, Charudatta Bhagwat	India	July 15, 2017	2014	TV-14	116 min	Dramas, International Movies	In a remote village in colonial India, an old man and his grandson display strong differences in their attitudes toward the country's British rulers.
s24	TV Show	Spirit: Riding Free		Amber Frank, Sydney Park, Bailey Gambertoglio, Darcy Rose Byrnes, Nolan North, Kari Wahlgren, Andy Pessoa, Tiya Sircar, Jonathan Craig WIlliams, Robert Knepper	United States	April 5, 2019	2019	TV-Y7	8 Seasons	Kids' TV	In a small Western town, spunky ex-city girl Lucky forms a tight bond with wild horse Spirit while having adventures with best pals Pru and Abigail.
s25	Movie	ZoÃ©: Panoramas	Rodrigo Guardiola, Gabriel Cruz Rivas	Sergio Acosta, JesÃºs BÃ¡ez, Ãngel Mosqueda, Rodrigo Guardiola, LeÃ³n Larregui	Mexico	November 1, 2019	2016	TV-MA	89 min	Documentaries, International Movies, Music & Musicals	This introspective rockumentary follows the career triumphs and intimate moments of legendary Mexican band ZoÃ© as they embark on a global tour.
s26	TV Show	Twice Upon A Time		Gaspard Ulliel, Freya Mavor	France	December 19, 2019	2019	TV-MA	1 Season	International TV Shows, Romantic TV Shows, TV Dramas	Months after a crushing breakup, a man receives a mysterious package that opens a portal to the past â€“ and gives him a chance to win back his ex.
s27	TV Show	Filinta		Onur Tuna, Serhat Tutumluer, Mehmet Ã–zgÃ¼r, Naz Elmas, Kayra Åženocak, Kamil GÃ¼ler, Ceyhun Ergin, Burcu Ã‡oban, Umut KÄ±rcalÄ±, Sencer Serta	Turkey	April 15, 2017	2015	TV-14	2 Seasons	Crime TV Shows, International TV Shows, TV Action & Adventure	In 19th-century Istanbul, a young police officer investigates crimes and falls in love with the daughter of a wealthy merchant conspiring against him.
s28	Movie	Rembat	Shamyl Othman	Shaheizy Sam, Aniu, Zizan Razak, Zara Zya, Arja Lee	Malaysia	August 21, 2017	2015	TV-PG	88 min	Action & Adventure, Comedies, International Movies	Two huge soccer fans must go on a rambunctious road trip to fix a big match between Malaysia and Thailand, or they'll draw the ire of a loan shark.
s29	Movie	MANK	David Fincher	Gary Oldman, Amanda Seyfried, Charles Dance, Lily Collins, Arliss Howard, Tom Pelphrey, Sam Troughton, Ferdinand Kingsley, Tuppence Middleton, Tom Burke, Joseph Cross, Jamie McShane, Toby Leonard Moore, Monika Gossmann	United States	December 4, 2020	2020	R	133 min	Dramas, Independent Movies	1930s Hollywood is reevaluated through the eyes of scathing wit and alcoholic screenwriter Herman J. Mankiewicz as he races to finish â€œCitizen Kane.â€
s30	Movie	Ms. Mammy	Wael Ihsan	Yasmin Abdulaziz, Hassan El Raddad, Ahmed Fouad Selim, Entessar, Hesham Ismail, Badria Tolba, Ghassan Mattar, Eman El-Sayed, Saad El Soghayar, Soleiman Eid, Youssef Eid, Hassan Abdulfattah, Mohamed Lotfy, Hala Fakher	Egypt	June 6, 2019	2012	TV-14	90 min	Comedies, International Movies	A successful advertising agency executive falls asleep on an airplane and wakes up in an alternate universe as a stay-at-home mom with three kids.
s31	TV Show	The Universe: Ancient Mysteries Solved		Erik Thompson		May 2, 2020	2015	TV-PG	1 Season	Docuseries, Science & Nature TV	From astronomical events to shapes and patterns in space, strange and wonderful phenomena are explored with modern science in this series.
s32	Movie	The Guide to the Perfect Family	Ricardo Trogi	Louis Morissette, Ã‰milie Bierre, Catherine Chabot, Xavier Lebel, Isabelle GuÃ©rard, Gilles Renaud, Alexandre Goyette, Jean-Carl Boucher, Louise Portal		July 14, 2021	2021	TV-MA	102 min	Comedies, Dramas, International Movies	A couple in QuÃ©bec deals with the pitfalls, pressure and high expectations of raising kids in a society obsessed with success and social media image.
s33	TV Show	Rebellion		Charlie Murphy, Ruth Bradley, Sarah Greene, Brian Gleeson, Michelle Fairley, Ian McElhinney, Michael Ford-FitzGerald, Paul Reid, Barry Ward, Tom Turner, Perdita Weeks, Andrew Simpson, Sophie Robinson	Ireland	August 27, 2021	2016	TV-MA	2 Seasons	International TV Shows, TV Dramas	As World War I rages, three women and their families in Dublin choose sides in the violent Easter Rising revolt against British rule.
s34	Movie	Countdown to Death: Pablo Escobar	Santiago Diaz, Pablo Martin Farina			January 22, 2018	2017	TV-MA	69 min	Documentaries, International Movies	Through rare interviews, images and wiretap audio, this documentary reconstructs the last nine years of Colombian drug lord Pablo Escobar's life.
s35	Movie	Jumping the Broom	Salim Akil	Angela Bassett, Paula Patton, Laz Alonso, Loretta Devine, Meagan Good, Tasha Smith, Julie Bowen, DeRay Davis, Valarie Pettiford, Pooch Hall, Tenika Davis, T.D. Jakes, Mike Epps, Romeo Miller, Marguerite McNeil, El DeBarge, Brian Stokes Mitchell, Gary Dourdan	United States	November 1, 2020	2011	PG-13	113 min	Comedies, Romantic Movies	After a whirlwind romance, a couple rushes to say "I do" at the bride's family estate on Martha's Vineyard, where their relations meet â€” and clash.
s36	Movie	Only God Forgives	Nicolas Winding Refn	Ryan Gosling, Kristin Scott Thomas, Vithaya Pansringarm, Gordon Brown, Yayaying Rhatha Phongam, Tom Burke, Sahajak Boonthanakit, Pitchawat Petchayahon, Charlie Ruedpokanon, Kowit Wattanakul, Wannisa Peungpa, Narucha Chaimareung	Denmark, France, United States, Sweden	May 15, 2018	2013	R	90 min	Cult Movies, Independent Movies, Thrillers	When a cop kills the brother of an expat American gangster who runs a Bangkok fight club, his crime-boss mother flies in to supervise revenge.
s37	TV Show	Pacific Heat		Rob Sitch, Santo Cilauro, Tom Gleisner, Rebecca Massey, Lucia Mastrantone	Australia	December 2, 2016	2016	TV-14	1 Season	Crime TV Shows, TV Comedies	In this animated satire, a covert squad of operatives short on smarts but long on confidence tackles crime on the glitzy Gold Coast of Australia.
s38	Movie	They Are Everywhere	Yvan Attal	Yvan Attal, BenoÃ®t Poelvoorde, Charlotte Gainsbourg, ValÃ©rie Bonneton, Dany Boon, GrÃ©gory Gadebois, Denis PodalydÃ¨s, FranÃ§ois Damiens, YamÃ©e Couture, Freya Mavor, Rivka Michaeli	France, Belgium	October 28, 2016	2016	TV-MA	110 min	Comedies, International Movies	In counseling sessions with his therapist, preoccupied Yvan shares stories of anti-Semitism and what it's like to live as a Jew in modern France.
s39	Movie	The Stand-In	Jamie Babbit	Drew Barrymore, Michael Zegen, T.J. Miller, Holland Taylor, Ellie Kemper, Andrew Rannells, Michelle Buteau	United States	April 10, 2021	2020	R	102 min	Comedies	Her career in shambles, a reclusive movie star hires her stand-in to go to rehab for her, not expecting how much the look-alike will relish the role.
s40	Movie	Harith Iskander: I Told You So	Michael McKay	Harith Iskander	United States	January 19, 2018	2018	TV-14	62 min	Stand-Up Comedy	Malaysian stand-up comedy icon Harith Iskander takes the stage in Kuala Lumpur to talk about Singapore, a past girlfriend, Rick Astley and more.
s41	TV Show	You Cannot Hide		Blanca Soto, Eduardo Noriega, IvÃ¡n SÃ¡nchez, Maribel VerdÃº, Samantha Siqueiros, Peter Vives, Patricia Guirado, Jorge Bosch, Pere Ponce, Juan Caballero, Jordi Planas	Mexico	October 1, 2020	2020	TV-MA	1 Season	Crime TV Shows, International TV Shows, Spanish-Language TV Shows	A nurse and her daughter flee her husbandâ€™s drug-trafficking past in Mexico and assume new identities in Spain, but still face danger in Madrid.
s42	Movie	Lost in London	Sunkanmi Adebayo	Ime Bishop Umoh, Alexx Ekubo, Stanley Chibunna, Ella Betts, Adi Lev, Kemi Olofinmakin	Nigeria	December 21, 2019	2017	TV-PG	86 min	Comedies, International Movies	Nigerian students Okon and Bona experience culture shock â€“ several shocks, really â€“ after being selected for an exchange program in London.
s43	TV Show	Mossad 101		Yehuda Levi, Yehoram Gaon, Shai Avivi, Liron Vaisman, Aki Avni, Itay Tiran, Hana Laszlo	Israel	July 11, 2018	2017	TV-MA	2 Seasons	International TV Shows, TV Action & Adventure, TV Dramas	Cadets from every level of Israeli society undergo intense training to join their country's elite, highly classified intelligence service, the Mossad.
s44	Movie	Puss in Book: Trapped in an Epic Tale	Roy Burdine, Johnny Castuciano	Eric Bauza, Jayma Mays, Maria Bamford, Jeff Bennett, Grey Griffin, Carla Jimenez, Paul Rugg, Joshua Rush	United States	June 20, 2017	2017	TV-Y7	24 min	Children & Family Movies, Comedies	After tumbling into a magic storybook, Puss in Boots must fight, dance and romance his way through wild adventures as he searches for an escape.
s45	Movie	The Crying Game	Neil Jordan	Stephen Rea, Miranda Richardson, Forest Whitaker, Jaye Davidson, Adrian Dunbar, Breffini McKenna, Joe Savino, Birdie Sweeney, Andree Bernard, Jim Broadbent	United Kingdom, Japan, United States	January 1, 2020	1992	R	112 min	Classic Movies, Independent Movies, Thrillers	IRA terrorist Fergus bonds with his prisoner, Jody. Jody tells Fergus of his girlfriend, Dil, with whom Fergus later falls in love.
s46	Movie	Norman Lear: Just Another Version of You	Heidi Ewing, Rachel Grady	Norman Lear, George Clooney, Bill Moyers, John Amos, Russell Simmons, Louise Lasser, Rob Reiner, Jon Stewart, Amy Poehler	United States	November 1, 2016	2016	TV-MA	91 min	Documentaries	This documentary turns the spotlight on the man behind the iconic "All in the Family," with comments from friends, family and famous collaborators.
s47	Movie	HÃ©roes	Esteban Vidal	Fabrizio Copano, Juanita Ringeling, Fernando AlarcÃ³n, Delfina GuzmÃ¡n, Paty CofrÃ©, AndrÃ©s RillÃ³n, Julio Jung, NicolÃ¡s OyarzÃºn	Chile	August 19, 2018	2015	TV-MA	91 min	Comedies, International Movies	When an earthquake hits Chile, rescue workers must put aside their differences to save the country from a businessman's evil scheme.
s48	Movie	MindGamers	Andrew Goth	Tom Payne, Melia Kreiling, Antonia Campbell-Hughes, Sam Neill, Turlough Convery, Oliver Stark, Dominique Tipper, Ryan Doyle, Simon Paisley-day, Pedja Bjelac	Austria	January 15, 2020	2017	R	99 min	International Movies, Sci-Fi & Fantasy, Thrillers	Brilliant young students discover a breakthrough that could change humankind, but soon find themselves the subjects of a much bigger experiment.
s49	TV Show	Merlin	James Hawes	Colin Morgan, Bradley James, Katie McGrath, Angel Coulby, Richard Wilson, Anthony Head, John Hurt, Nathaniel Parker	United Kingdom	December 15, 2016	2012	TV-PG	5 Seasons	British TV Shows, International TV Shows, TV Action & Adventure	This family-oriented retelling of the King Arthur legend finds Merlin arriving in Camelot, where he hones his magic skills with the help of his uncle.
s50	Movie	The Rift: The Dark Side of the Moon	Dejan ZeÄeviÄ‡	Ken Foree, Katarina ÄŒas, Dragan MiÄ‡anoviÄ‡, Monte Markham, Denis MuriÄ‡, Miroljub LeÅ¡o, Sonja VukiÄ‡eviÄ‡, Ratko TurÄinoviÄ‡, Mick Garris	Serbia, South Korea, Slovenia	February 26, 2018	2016	TV-MA	92 min	Horror Movies, Independent Movies, Sci-Fi & Fantasy	When a team of special agents is sent to recover the wreckage of a downed satellite in Serbia, their mission takes a horrifying turn.
s51	Movie	Harold and Lillian: A Hollywood Love Story	Daniel Raim	Harold Michelson, Lillian Michelson, Mel Brooks, Francis Ford Coppola, Danny DeVito	United States	November 25, 2018	2015	TV-14	95 min	Documentaries	Storyboard artist Harold Michelson and his film researcher wife, Lillian, recall the influence they had on 60 years of Hollywood's biggest hits.
s52	Movie	Freedom Writers	Richard LaGravenese	Hilary Swank, Patrick Dempsey, Scott Glenn, Imelda Staunton, April L. Hernandez, Mario, Kristin Herrera, Jaclyn Ngan, Sergio Montalvo, Jason Finn, Deance Wyatt, Vanetta Smith	Germany, United States	September 1, 2021	2007	PG-13	124 min	Dramas	While her at-risk students are reading classics such as "The Diary of Anne Frank," a teacher asks them to keep journals about their troubled lives.
s53	Movie	The Women's Balcony	Emil Ben-Shimon	Evelin Hagoel, Igal Naor, Orna Banay, Einat Sarouf, Avraham Aviv Alush, Itzik Cohen, Yafit Asulin, Sharona Elimelech, Herzl Tobey, Haim Znati	Israel	December 19, 2017	2016	TV-PG	100 min	Comedies, Dramas, Faith & Spirituality	A conservative rabbi steps in to lead a congregation reeling from an accident, but his controversial plans incite a gender war among the congregation.
s54	TV Show	Big Dreams, Small Spaces		Monty Don	United Kingdom	 July 26, 2019	2017	TV-G	3 Seasons	British TV Shows, International TV Shows, Reality TV	Writer and presenter Monty Don helps England's budding horticulturists plant and grow the gardens of their dreams.
s55	Movie	High Flying Bird	Steven Soderbergh	AndrÃ© Holland, Zazie Beetz, Bill Duke, Kyle MacLachlan, Melvin Gregg, Sonja Sohn, Zachary Quinto	United States	February 8, 2019	2019	TV-MA	91 min	Dramas, Sports Movies	When an NBA lockout sidelines his big rookie client, an agent hatches a bold plan to save their careers â€“ and disrupt the league's power structure.
s56	Movie	The Rainmaker	Francis Ford Coppola	Matt Damon, Danny DeVito, Claire Danes, Jon Voight, Mary Kay Place, Dean Stockwell, Teresa Wright, Virginia Madsen, Mickey Rourke, Andrew Shue	United States, Germany	November 20, 2019	1997	PG-13	136 min	Dramas, Thrillers	A young attorney and a scrappy paralegal work to help the parents of a terminally ill boy in their suit against an insurance company.
s57	Movie	Mississippi Grind	Anna Boden, Ryan Fleck	Ryan Reynolds, Ben Mendelsohn, Sienna Miller, Analeigh Tipton, Alfre Woodard, James Toback, Robin Weigert	United States	July 26, 2018	2015	R	109 min	Dramas, Independent Movies	A gambler mired in debt thinks another cardsharp may just be his good luck charm as the two head for New Orleans to buy into a high-stakes poker game.
s58	Movie	Saeed Mirza: The Leftist Sufi	Kireet Khurana, Padmakumar Narasimhamurthy	Saeed Akhtar Mirza	India	May 1, 2017	2016	TV-MA	61 min	Documentaries, International Movies	This documentary profiles the celebrated Hindi film director known as much for his embrace of leftist politics and social concerns as lyrical cinema.
s59	Movie	Robin Hood: The Rebellion	Nicholas Winter	Ben Freeman, James Oliver Wheatley, Marie Everett, Jamie Kenna, James Groom, James G. Nunn, Martyn Ford, Gareth David-Lloyd, Brian Blessed, Kristian Nairn	United Kingdom	May 1, 2019	2018	TV-14	92 min	Action & Adventure, Independent Movies, International Movies	When the Sheriff of Nottingham takes his beloved captive, Robin Hood embarks on a daring rescue mission at the tyrant's castle.
s60	Movie	Phobia 2	Banjong Pisanthanakun, Paween Purikitpanya, Songyos Sugmakanan, Parkpoom Wongpoom, Visute Poolvoralaks	Jirayu La-ongmanee, Charlie Trairat, Worrawech Danuwong, Marsha Wattanapanich, Nicole Theriault, Chumphorn Thepphithak, Gacha Plienwithi, Suteerush Channukool, Peeratchai Roompol, Nattapong Chartpong	Thailand	September 5, 2018	2009	TV-MA	125 min	Horror Movies, International Movies	From disfiguring punishments to festering souls, Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology.
s61	TV Show	Murder Among the Mormons	Jared Hess, Tyler Measom		United States	March 3, 2021	2021	TV-14	1 Season	Crime TV Shows, Docuseries	High-stakes exploits turn deadly â€” and shake a global church to its core â€” in this extraordinary true crime story.
s62	Movie	The Apostate	Federico Veiroj	Ãlvaro Ogalla, Marta Larralde, BÃ¡rbara Lennie, Vicky PeÃ±a, Juan Calot, Kaiet Rodriguez, AndrÃ©s GertrÃºdix, JoaquÃ­n Climent, Ãlvaro Roig, Tino Martinez, Mercedes Hoyos	Spain, France, Uruguay	May 10, 2017	2015	TV-MA	80 min	Comedies, Dramas, International Movies	A young man determined to renounce Catholicism by having his baptismal records excised is thwarted by church bureaucracy and his own inner conflicts.
s63	Movie	#Rucker50	Robert McCullough Jr.		United States	December 1, 2016	2016	TV-PG	56 min	Documentaries, Sports Movies	This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.
s64	TV Show	Hardy Bucks		Martin Maloney, Owen Colgan, Chris Tordoff, Peter Cassidy, Tom Kilgallon, Michael Salmon, Wayne Lynch, Tommy Miller	Ireland	January 11, 2019	2018	TV-MA	4 Seasons	TV Comedies	A circle of young men entertain vague ambitions involving quick cash, women and showbiz in this mockumentary on small-town Irish life in County Mayo.
s65	Movie	Under the Bombs	Philippe Aractingi	Nada Abou Farhat, Georges Khabbaz, Bshara Atallah, Rawia Elchab, Elham Abbas, Iman Affara, Zahra Ali, Ali Maerouf Amer, Ali Azour, Najat Darwish	France, Lebanon, United Kingdom	October 19, 2020	2007	TV-MA	94 min	Dramas, Independent Movies, International Movies	A mother arrives in war-torn Lebanon looking for her missing son in the South as a cab driver agrees to escort her on her dangerous trip.
s66	Movie	Harry Benson: Shoot First	Justin Bare, Matthew Miele	Harry Benson	United States	May 1, 2017	2016	NR	90 min	Documentaries	This film chronicles the career of photographer Harry Benson, who earned global renown with his candid shots of the Beatles and other celebrities.
s67	TV Show	Abyss		Park Bo-young, Ahn Hyo-seop, Lee Sung-jae, Lee Si-eon, Han So-hee, Kwon Soo-hyun, Kim Sa-rang, Ahn Se-ha, Yun Yoo-sun	South Korea	May 7, 2019	2019	TV-14	1 Season	Crime TV Shows, International TV Shows, Korean TV Shows	After meeting an untimely demise in separate incidents, Cha Min and Go Se-yeon discover theyâ€™ve come back to life in new bodies they donâ€™t recognize.
s68	Movie	Trailer Park Boys Live In F**kin' Dublin	Mike Smith, John Paul Tremblay, Robb Wells	Mike Smith, John Paul Tremblay, Robb Wells, Pat Roach	Canada	March 1, 2018	2014	TV-MA	81 min	Movies	The boys head to Ireland after winning a contest to see Rush but are arrested by immigration and must perform a community service puppet show.
s69	Movie	Sigaram Thodu	Gaurav Narayanan	Vikram Prabhu, Sathyaraj, Monal Gajjar, Sathish, Erode Mahesh, Gaurav Narayanan	India	November 1, 2018	2014	TV-14	141 min	Dramas, International Movies, Thrillers	A policeman's son overcomes his reluctance to join the force following a brutal attack on his father and ends up in the middle of a robbery case.
s70	TV Show	The Circle Brazil		Giovanna Ewbank	Brazil, United Kingdom	March 11, 2020	2020	TV-MA	1 Season	International TV Shows, Reality TV	Be yourself or someone else? In this fun reality competition, online players try their best to flirt, bond and catfish their way to a R$300,000 prize.
s71	TV Show	The Miracle		Donghyun Kim, Nahyun, Yang Hak Jin, Yoon Hwa Hong	South Korea	April 10, 2017	2016	TV-14	1 Season	International TV Shows, Korean TV Shows, TV Dramas	Polar opposites in personality and looks, fraternal twin sisters who live completely different lives wake up one day to find they've switched bodies.
s72	Movie	Neal Brennan: 3 Mics	Neal Brennan	Neal Brennan	United States	January 17, 2017	2017	TV-MA	66 min	Stand-Up Comedy	Wicked one-liners and soul-baring confessions converge in this uniquely intimate stand-up special from "Chappelle's Show" co-creator Neal Brennan.
s73	Movie	Brother Jekwu	Charles Uwagbai	Mike Ezuruonye, Juliet Ochienge, Angela Okorie, Huddah Monroe, Catherine Kamau, Naomi Mburu, Derrick Aduwo, Chris Kamau, Abubakar Salum, Celebrity Landlord	Nigeria	August 11, 2021	2016	TV-14	101 min	Comedies, International Movies	Chasing wild success, a village hustler follows his cousin from Nigeria to Kenya and stumbles into the shady business affairs of a notorious overlord.
s74	Movie	Confusion Na Wa	Kenneth Gyang	Ramsey Nouah, OC Ukeje, Ali Nuhu, Tunde Aladese, Gold Ikponmwosa, Tony Goodman, Nathaniel Deme, Yanchat Sankey, Lisa Pam Tok, Toyin Alabi	Nigeria	June 9, 2021	2013	TV-MA	106 min	Comedies, Dramas, International Movies	A misplaced cell phone's incriminating content becomes a prime blackmail opportunity for a pair of petty thieves who soon regret their greedy scheme.
